Tên học bổng,Link,Expected slot/Acceptance Rate (optional),Ranking of the scholarship (optional),"Loại học bổng (merit-based, need-based,..)",Đối tượng,Trường áp dụng,degree,eligible_nationalities,"Thông tin cụ thể học bổng (Range tiền, số lượng học bổng, giá trị học bổng)",Điều kiện Apply,deadlines,Insight of the scholarship
Free Tuition at Technical University Dortmund 2026 (Full Tuition),https://international.tu-dortmund.de/en/international-students/everyday-life/finances/financing-of-studies/,,,"Merit- based, need-based","Sinh viên quốc tế bậc Cử nhân, Thạc sĩ và Tiến sĩ, mọi quốc tịch.",Technical University Dortmund,"Bachelor's, Master's, and PhD",All Nationalities,"This full tuition scholarship for international students covers full tuition fees for four years for bachelors degrees, two years for masters degrees, and up to six years for doctorate degrees.","You just need to be an international Bachelor's, Master's, and Ph.D. student or applicant of Technical University Dortmund.","The great news is that there is no specific deadline to apply for
  Free Tuition!
  While there are no specific dates, it’s important to apply before the Technical University Dortmund admission deadlines .
  Here are the deadlines: | Bachelor's Deadline (Summer): January 15, 2026 (Different Bachelor's programs have different deadlines) | Bachelor's Deadline (Winter): July 15, 2026 (Different Bachelor's programs have different deadlines) | Master's Deadline (Summer): January 15, 2026 (Different Master's programs have different deadlines) | Master's Deadline (Winter): July 15, 2026 (Different Master's programs have different deadlines) | PhD Deadline:
  Exact deadlines vary depending on your chosen department or project.","Học bổng miễn học phí có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Không có vòng xét tuyển học bổng tách biệt hỗ trợ tài chính được cấp gần như tự động khi ứng viên trúng tuyển chương trình, nên trọng tâm cần đặt vào hồ sơ nhập học của trường hơn là một bộ hồ sơ học bổng riêng. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp học bổng riêng quyền lợi gắn liền với hồ sơ nhập học, nên ứng viên cần nộp đơn nhập học càng sớm càng tốt vì ngân sách/suất học bổng thường có giới hạn và xét theo thứ tự."
Graduate Assistantships at Loyola University Chicago 2026 (Full Tuition),https://www.luc.edu/gradschool/FundingGrad.Education.shtml,,,Assistantship,"Sinh viên quốc tế bậc Thạc sĩ và Tiến sĩ, mọi quốc tịch.",Loyola University Chicago,Master's and PhD,All Nationalities,"This full tuition scholarship for international students covers the following: | $28,000 for a 9-month stipend to $34,000 for a 12-month stipend | Tuition scholarships | Health insurance",You just need to be an international Master's and Ph.D. student or applicant of Loyola University Chicago.,"The great news is that there is no specific deadline to apply for
  Graduate Assistantships!
  While there are no specific dates, it’s important to apply before the Loyola University Chicago admission deadlines .
  Here are the deadlines: | Master's Deadline (Spring): January 15, 2026 (Different Master's programs have different deadlines) | Master's Deadline (Fall): July 15, 2026 (Different Master's programs have different deadlines) | PhD Deadline:
  Exact deadlines vary depending on your chosen department or project.","Học bổng miễn học phí có mức độ hỗ trợ khá đầy đủ, vượt ra ngoài mức học phí cơ bản. Điểm cộng đáng chú ý là học bổng còn bao gồm bảo hiểm y tế những khoản này không phải học bổng nào cũng có, giúp giảm đáng kể chi phí phát sinh ngoài học phí. Đây thực chất là một vị trí bán thời gian (trợ giảng/trợ lý nghiên cứu) đi kèm học bổng, nên yếu tố then chốt là sự phù hợp với khoa/bộ môn và năng lực ngôn ngữ để đảm nhận công việc giảng dạy/nghiên cứu, không chỉ điểm số. Khối lượng giờ làm việc bắt buộc mỗi tuần có thể ảnh hưởng đến thời gian học tập. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp học bổng riêng quyền lợi gắn liền với hồ sơ nhập học, nên ứng viên cần nộp đơn nhập học càng sớm càng tốt vì ngân sách/suất học bổng thường có giới hạn và xét theo thứ tự."
Heritage Academic Scholarship at Jackson State University 2026 (Full Tuition),https://sites.jsums.edu/scholarships/freshmen.htm,,,Merit-based,"Sinh viên quốc tế bậc Cử nhân, mọi quốc tịch; có thành tích học tập nổi bật.",Jackson State University,Bachelor's,All Nationalities,This full tuition scholarship for international students covers 100% of tuition fees.,Students with a GPA of 3.0 | Students with an ACT score of 23-24 or an SAT score ranging between 1130-1190,"The great news is that there is no specific deadline to apply for
  Heritage Academic Scholarship!
  While there are no specific dates, it’s important to apply before the Jackson State University admission deadlines .
  Here are the deadlines: | Bachelor's Deadline (Fall): August 21, 2026","Học bổng miễn học phí có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Cạnh tranh chủ yếu dựa trên hồ sơ học thuật (GPA, điểm chuẩn hóa, thành tích), vì vậy ứng viên nên đầu tư vào bảng điểm, thư giới thiệu học thuật và bài luận thể hiện năng lực vượt trội. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp cố định cho riêng học bổng, nhưng nên hoàn thiện hồ sơ trước hạn tuyển sinh chung của trường để không bỏ lỡ đợt xét duyệt."
Graduate Assistantships at Fairleigh Dickinson University 2026 (Full Tuition),https://www.fdu.edu/academics/colleges-schools/public-global/scholarships/,,,Assistantship,"Sinh viên quốc tế bậc Thạc sĩ và Tiến sĩ, mọi quốc tịch.",Fairleigh Dickinson University,Master's and PhD,All Nationalities,This full tuition scholarship for international students covers tuition fees.,You just need to be an international Master's and Ph.D. student or applicant of Fairleigh Dickinson University.,"The great news is that there is no specific deadline to apply for
  Graduate Assistantships!
  While there are no specific dates, it’s important to apply before the Fairleigh Dickinson University admission deadlines .
  Here are the deadlines: | Master's Deadline (Fall): July 1, 2026 (Different Master's programs have different deadlines) | PhD Deadline:
  Exact deadlines vary depending on your chosen department or project.","Học bổng miễn học phí có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Đây thực chất là một vị trí bán thời gian (trợ giảng/trợ lý nghiên cứu) đi kèm học bổng, nên yếu tố then chốt là sự phù hợp với khoa/bộ môn và năng lực ngôn ngữ để đảm nhận công việc giảng dạy/nghiên cứu, không chỉ điểm số. Khối lượng giờ làm việc bắt buộc mỗi tuần có thể ảnh hưởng đến thời gian học tập. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp học bổng riêng quyền lợi gắn liền với hồ sơ nhập học, nên ứng viên cần nộp đơn nhập học càng sớm càng tốt vì ngân sách/suất học bổng thường có giới hạn và xét theo thứ tự."
Vice-Chancellor’s Undergraduate Scholarship at Robert Gordon University 2026 (Full Tuition),https://www.rgu.ac.uk/study/finance-funding/funding-and-scholarships/2290-vice-chancellor-s-undergraduate-scholarship,,,"Merit- based, need-based","Sinh viên quốc tế bậc Cử nhân, mọi quốc tịch.",Robert Gordon University,Bachelor's,All Nationalities,This full tuition scholarship for international students covers full tuition for the first year of studies.,Classified as international fee payers | Self-funded,"For Vice-Chancellor’s Undergraduate Scholarship, you may apply on these dates: | Bachelor's Application Deadline:
  June 17, 2026","Học bổng miễn học phí có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Không có vòng xét tuyển học bổng tách biệt hỗ trợ tài chính được cấp gần như tự động khi ứng viên trúng tuyển chương trình, nên trọng tâm cần đặt vào hồ sơ nhập học của trường hơn là một bộ hồ sơ học bổng riêng. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Có hạn nộp hồ sơ rõ ràng nên lên kế hoạch chuẩn bị giấy tờ (bảng điểm, thư giới thiệu, bài luận...) sớm trước thời hạn để tránh bị động vào phút chót."
Free Tuition at Friedrich Schiller University Jena 2026 (Full Tuition),https://www.uni-jena.de/en/financing-studies-international,,,"Merit- based, need-based","Sinh viên quốc tế bậc Cử nhân, Thạc sĩ và Tiến sĩ, mọi quốc tịch.",Friedrich Schiller University Jena,"Bachelor's, Master's, and PhD",All Nationalities,"This full tuition scholarship for international students covers full tuition fees for four years for bachelors degrees, two years for masters degrees, and up to six years for doctorate degrees.","You just need to be an international Bachelor's, Master's, and Ph.D. student or applicant of Friedrich Schiller University Jena.","The great news is that there is no specific deadline to apply for
  Free Tuition!
  While there are no specific dates, it’s important to apply before the Friedrich Schiller University Jena admission deadlines .
  Here are the deadlines: | Bachelor's Deadline (Summer): January 15, 2026 (Different Bachelor's programs have different deadlines) | Bachelor's Deadline (Winter): July 15, 2026 (Different Bachelor's programs have different deadlines) | Master's Deadline (Summer): January 15, 2026 (Different Master's programs have different deadlines) | Master's Deadline (Winter): July 15, 2026 (Different Master's programs have different deadlines) | PhD Deadline:
  Exact deadlines vary depending on your chosen department or project.","Học bổng miễn học phí có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Không có vòng xét tuyển học bổng tách biệt hỗ trợ tài chính được cấp gần như tự động khi ứng viên trúng tuyển chương trình, nên trọng tâm cần đặt vào hồ sơ nhập học của trường hơn là một bộ hồ sơ học bổng riêng. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp học bổng riêng quyền lợi gắn liền với hồ sơ nhập học, nên ứng viên cần nộp đơn nhập học càng sớm càng tốt vì ngân sách/suất học bổng thường có giới hạn và xét theo thứ tự."
Provost Academic Scholarship at Jackson State University 2026 (Full Tuition),https://sites.jsums.edu/scholarships/freshmen.htm,,,Merit-based,"Sinh viên quốc tế bậc Cử nhân, mọi quốc tịch; có thành tích học tập nổi bật.",Jackson State University,Bachelor's,All Nationalities,This full tuition scholarship for international students covers 100% of tuition fees.,Students with a GPA of 3.25 | Students with an ACT score of 25+ or an SAT score of 1130+,"The great news is that there is no specific deadline to apply for
  Provost Academic Scholarship!
  While there are no specific dates, it’s important to apply before the Jackson State University admission deadlines .
  Here are the deadlines: | Bachelor's Deadline (Fall): August 21, 2026","Học bổng miễn học phí có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Cạnh tranh chủ yếu dựa trên hồ sơ học thuật (GPA, điểm chuẩn hóa, thành tích), vì vậy ứng viên nên đầu tư vào bảng điểm, thư giới thiệu học thuật và bài luận thể hiện năng lực vượt trội. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp cố định cho riêng học bổng, nhưng nên hoàn thiện hồ sơ trước hạn tuyển sinh chung của trường để không bỏ lỡ đợt xét duyệt."
Free Tuition at Technical University of Berlin 2026 (Full Tuition),https://www.tu.berlin/en/studying/organizing-your-studies/financing-your-studies/,,,"Merit- based, need-based","Sinh viên quốc tế bậc Cử nhân, Thạc sĩ và Tiến sĩ, mọi quốc tịch.",Technical University of Berlin,"Bachelor's, Master's, and PhD",All Nationalities,"This full tuition scholarship for international students covers full tuition fees for four years for bachelors degrees, two years for masters degrees, and up to six years for doctorate degrees.","You just need to be an international Bachelor's, Master's, and Ph.D. student or applicant of Technical University of Berlin.","The great news is that there is no specific deadline to apply for
  Free Tuition!
  While there are no specific dates, it’s important to apply before the Technical University of Berlin admission deadlines .
  Here are the deadlines: | Bachelor's Deadline: July 15, 2026 (Different Bachelor's programs have different deadlines) | Master's Deadline: May 15, 2026 (Different Master's programs have different deadlines) | PhD Deadline:
  Exact deadlines vary depending on your chosen department or project.","Học bổng miễn học phí có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Không có vòng xét tuyển học bổng tách biệt hỗ trợ tài chính được cấp gần như tự động khi ứng viên trúng tuyển chương trình, nên trọng tâm cần đặt vào hồ sơ nhập học của trường hơn là một bộ hồ sơ học bổng riêng. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp học bổng riêng quyền lợi gắn liền với hồ sơ nhập học, nên ứng viên cần nộp đơn nhập học càng sớm càng tốt vì ngân sách/suất học bổng thường có giới hạn và xét theo thứ tự."
Free Tuition at Rhenish Friedrich Wilhelm University of Bonn 2026 (Full Tuition),https://www.uni-bonn.de/en/studying/application-admission-and-enrollment/costs,,,"Merit- based, need-based","Sinh viên quốc tế bậc Cử nhân, Thạc sĩ và Tiến sĩ, mọi quốc tịch.",Rhenish Friedrich Wilhelm University of Bonn,"Bachelor's, Master's, and PhD",All Nationalities,"This full tuition scholarship for international students covers full tuition fees for four years for bachelors degrees, two years for masters degrees, and up to six years for doctorate degrees.","You just need to be an international Bachelor's, Master's, and Ph.D. student or applicant of Rhenish Friedrich Wilhelm University of Bonn.","The great news is that there is no specific deadline to apply for
  Free Tuition!
  While there are no specific dates, it’s important to apply before the Rhenish Friedrich Wilhelm University of Bonn admission deadlines .
  Here are the deadlines: | Bachelor's Deadline (Summer): January 15, 2026 (Different Bachelor's programs have different deadlines) | Bachelor's Deadline (Winter): July 15, 2026 (Different Bachelor's programs have different deadlines) | Master's Deadline (Summer): January 15, 2026 (Different Master's programs have different deadlines) | Master's Deadline (Winter): July 15, 2026 (Different Master's programs have different deadlines) | PhD Deadline:
  Exact deadlines vary depending on your chosen department or project.","Học bổng miễn học phí có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Không có vòng xét tuyển học bổng tách biệt hỗ trợ tài chính được cấp gần như tự động khi ứng viên trúng tuyển chương trình, nên trọng tâm cần đặt vào hồ sơ nhập học của trường hơn là một bộ hồ sơ học bổng riêng. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp học bổng riêng quyền lợi gắn liền với hồ sơ nhập học, nên ứng viên cần nộp đơn nhập học càng sớm càng tốt vì ngân sách/suất học bổng thường có giới hạn và xét theo thứ tự."
Mandela Scholarship at University of Sussex 2026 (Full Tuition),https://www.sussex.ac.uk/study/fees-funding/masters-scholarships/view/1636-Mandela-Scholarship,,,Merit-based,"Sinh viên quốc tế bậc Thạc sĩ, công dân: South Africa.",University of Sussex,Master's,South Africa,"This full tuition scholarship for international students covers the following: | 100% tuition fee waiver | £14,400 awards",A full-time Master's student | Holding an undergraduate degree from an African university with the grades equivalent of a UK upper second-class degree,"The great news is that there is no specific deadline to apply for
  Mandela Scholarship!
  While there are no specific dates, it’s important to apply before the University of Sussex admission deadlines .
  Here are the deadlines: | Master's Deadline (September Intake): August 1, 2026","Học bổng miễn học phí có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Cạnh tranh chủ yếu dựa trên hồ sơ học thuật (GPA, điểm chuẩn hóa, thành tích), vì vậy ứng viên nên đầu tư vào bảng điểm, thư giới thiệu học thuật và bài luận thể hiện năng lực vượt trội. Vì giới hạn theo quốc gia/khu vực, lượng ứng viên cạnh tranh trực tiếp sẽ ít hơn đáng kể so với học bổng mở toàn cầu. Không có hạn nộp cố định cho riêng học bổng, nhưng nên hoàn thiện hồ sơ trước hạn tuyển sinh chung của trường để không bỏ lỡ đợt xét duyệt."
Graduate Assistantships at Salem State University 2026 (Full Tuition),https://www.salemstate.edu/admissions-and-aid/graduate-admissions/funding-your-graduate-education/graduate-assistantships,,,Merit-based,"Sinh viên quốc tế bậc Thạc sĩ, mọi quốc tịch; có thành tích học tập nổi bật, sẵn sàng đảm nhận công việc trợ giảng/trợ lý nghiên cứu.",Salem State University,Master's,All Nationalities,This full tuition scholarship for international students covers the following: | Full tuition cost | Up to $18 per hour as compensation for work rendered as assistant (maximum of 10 hours per week),With undergraduate GPA of 3.0 or above or graduate GPA of 3.5 or above | Admitted unconditionally into a master's degree in the university | Enrolled in at least six graduate credits each semester | NOT university employees | NOT student assistants already,"The great news is that there is no specific deadline to apply for
  Graduate Assistantships!
  While there are no specific dates, it’s important to apply before the Salem State University admission deadlines .
  Here are the deadlines: | Master's Deadline (Fall): July 6, 2026","Học bổng miễn học phí có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Cạnh tranh chủ yếu dựa trên hồ sơ học thuật (GPA, điểm chuẩn hóa, thành tích), vì vậy ứng viên nên đầu tư vào bảng điểm, thư giới thiệu học thuật và bài luận thể hiện năng lực vượt trội. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp cố định cho riêng học bổng, nhưng nên hoàn thiện hồ sơ trước hạn tuyển sinh chung của trường để không bỏ lỡ đợt xét duyệt."
Free Tuition at Otto von Guericke University Magdeburg 2026 (Full Tuition),https://www.ovgu.de/en/fees.html,,,"Merit- based, need-based","Sinh viên quốc tế bậc Cử nhân, Thạc sĩ và Tiến sĩ, mọi quốc tịch.",Otto von Guericke University Magdeburg,"Bachelor's, Master's, and PhD",All Nationalities,"This full tuition scholarship for international students covers full tuition fees for four years for bachelors degrees, two years for masters degrees, and up to six years for doctorate degrees.","You just need to be an international Bachelor's, Master's, and Ph.D. student or applicant of Otto von Guericke University Magdeburg.","The great news is that there is no specific deadline to apply for
  Free Tuition!
  While there are no specific dates, it’s important to apply before the Otto von Guericke University Magdeburg admission deadlines .
  Here are the deadlines: | Bachelor's and Master's Deadline (Summer): January 15, 2026 (Different Bachelor's and Master's programs have different deadlines) | Bachelor's and Master's Deadline (Winter): July 15, 2026 (Different Bachelor's and Master's programs have different deadlines) | PhD Deadline:
  Exact deadlines vary depending on your chosen department or project.","Học bổng miễn học phí có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Không có vòng xét tuyển học bổng tách biệt hỗ trợ tài chính được cấp gần như tự động khi ứng viên trúng tuyển chương trình, nên trọng tâm cần đặt vào hồ sơ nhập học của trường hơn là một bộ hồ sơ học bổng riêng. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp học bổng riêng quyền lợi gắn liền với hồ sơ nhập học, nên ứng viên cần nộp đơn nhập học càng sớm càng tốt vì ngân sách/suất học bổng thường có giới hạn và xét theo thứ tự."
